topic,sub_topic,risk_factor,question,instruction
Climate science,Leakage,Monitoring & Mitigation of Leakage,"Are mitigation actions defined if leakage is detected, such as switching feedstock sources or adjusting credit calculations?",Look for: Contingency plans or thresholds that trigger remedial actions | If absent/vague: Only vague promises to 'fix issues' | Assess: Defined strategies reduce overall project leakage risk; their absence increases it.
Climate science,Leakage,Life Cycle Emissions,"Does the project define a cradle-to-grave boundary and account for infrastructure-related emissions (e.g., new facilities)?",Look for: LCA specifying if construction/installation emissions are included | If absent/vague: Possibly these embedded emissions are omitted | Assess: Omitting facility emissions can overstate net removals.
Climate science,Leakage,Market Leakage,"Could large-scale biochar production distort local feedstock markets, driving up prices or limiting supply for other low-carbon uses?","Look for: Discussions of the project’s share of local biomass demand, supply constraints, competition | If absent/vague: The project assumes unlimited feedstock without proof | Assess: Market distortions can indirectly cause leakage."
Climate science,Leakage,Positive Leakage,"Does the project create uncredited GHG reductions or co-benefits (e.g., soil carbon gains, fossil energy displacement)?","Look for: References to side benefits not claimed as credits (e.g., improved soil health, on-site energy use) | If absent/vague: Possibly no mention of co-benefits | Assess: Positive leakage can bolster overall climate impact."
Climate science,Leakage,Ecological Leakage,"Could changes in biomass extraction or land management shift environmental impacts (e.g., habitat disruption) offsite?","Look for: Ecological impact assessments referencing offsite effects, biodiversity surveys, or water usage changes | If absent/vague: Project does not address broader ecosystem shifts | Assess: Overlooked ecological leakage can undermine net climate benefits."
Climate science,MRV,Monitoring Systems & Data Quality,"Does the project follow a structured monitoring plan for key parameters (feedstock volume, pyrolysis conditions, biochar output)?","Look for: An MRV protocol specifying frequency, data logging methods, QA processes | If absent/vague: Only a general process description with no measurable metrics | Assess: A robust plan is essential for reliable crediting; ad hoc data collection is risky."
Climate science,MRV,Monitoring Systems & Data Quality,Is there third-party verification or auditing to confirm reported data accuracy?,"Look for: Independent audits by recognized bodies (Verra, Puro, Riverse) or equivalent | If absent/vague: Only self-reported data with no external checks | Assess: External verification greatly increases trust in data integrity."
Climate science,MRV,Transparency & Data Accessibility,"Are raw data, methodologies, and assumptions disclosed so stakeholders can review or recalculate carbon claims?","Look for: Detailed LCA reports/appendices with calculation steps, references, and spreadsheets | If absent/vague: Only high-level summaries with no underlying data | Assess: Transparent disclosure enables independent verification; opacity reduces confidence."
Climate science,MRV,Transparency & Data Accessibility,Does the project maintain historical records to allow trend analysis over multiple reporting periods?,"Look for: Archived annual reports or time-series data for feedstock, energy use, production outputs | If absent/vague: Only current data is shown with no historical context | Assess: Historical records are vital for spotting anomalies or performance trends."
Climate science,MRV,Long-Term Monitoring & Post-Application Verification,Does the project track biochar stability in its end-use environment (soil or construction materials) over time?,"Look for: Protocols detailing field sampling intervals, measurement methods, or remote sensing for post-application stability | If absent/vague: Project only states application method with no follow-up | Assess: Without tracking, permanence claims are unverified."
Climate science,MRV,Long-Term Monitoring & Post-Application Verification,Are contingency measures in place if biochar degradation or disturbance is detected after application?,"Look for: Corrective action plans (re-application, extra offsets, operational adjustments) triggered if degradation occurs | If absent/vague: Only a vague promise to 'handle issues' | Assess: Concrete measures reduce the risk of unaddressed carbon loss."
Climate science,MRV,Periodic Reporting & Methodology Adjustments,Does the project update its MRV methodology based on new research or operational data?,"Look for: Auditor notes or documentation on revised emission factors, baseline models, or sampling methods | If absent/vague: A static MRV approach from inception with no improvements | Assess: Ongoing methodological refinement is key to accurate crediting."
Climate science,MRV,Periodic Reporting & Methodology Adjustments,Are errors or deviations in reported data transparently corrected and communicated to stakeholders?,"Look for: Revision logs, updated credit issuances, or auditor communications explaining corrections | If absent/vague: Discrepancies may never be addressed or only mentioned in passing | Assess: Transparent error correction builds trust; ignoring it fosters inaccuracies."
Delivery risk,Supply chain,Feedstock Availability & Security,Has the project secured multi-year agreements with feedstock suppliers specifying volumes and pricing?,Look for: Signed contracts or documented supply commitments in project/audit reports | If absent/vague: Reliance on informal deals or spot markets | Assess: Secure long-term contracts reduce supply risk; lack of them increases the chance of shortages.
Delivery risk,Supply chain,Feedstock Availability & Security,"Does the project have contingency plans (backup suppliers, buffer stock) for disruptions or price spikes?",Look for: Risk management strategies referencing secondary suppliers or on-site storage | If absent/vague: Project assumes stable supply with no backups | Assess: No contingency means higher vulnerability to feedstock fluctuations.
Delivery risk,Supply chain,Competing Market Demands & Regulatory Barriers,"Could other industries (bioenergy, pulp/paper) outbid the project for biomass, reducing feedstock availability?",Look for: Market analyses or auditor notes on local biomass demand/competition | If absent/vague: Only claims of 'biomass abundance' with no data | Assess: High competition can raise costs and threaten viability.
Delivery risk,Supply chain,Competing Market Demands & Regulatory Barriers,"Are emerging regulations (e.g., forest conservation, export bans) likely to constrain feedstock sourcing?","Look for: Policy risk assessments or auditor references to possible regulatory changes | If absent/vague: Project may ignore local legislation trends | Assess: Sudden restrictions can limit access, increasing operational risk."
Delivery risk,Supply chain,Logistics & Transportation,Is existing transport infrastructure sufficient to handle the required biomass volumes without repeated delays?,"Look for: Documentation on logistics arrangements, route assessments, or transport contracts | If absent/vague: No detail on how raw materials reach the facility | Assess: Poor infrastructure can cause delays, undermining credit delivery schedules."
Delivery risk,Supply chain,Logistics & Transportation,"Has the project accounted for rising fuel costs or potential disruptions (weather, political instability) in its transport planning?",Look for: Financial sensitivity analyses or risk management plans addressing transport cost fluctuations | If absent/vague: No mention of transport risks | Assess: Unanticipated cost spikes can delay production and increase expenses.
Delivery risk,Supply chain,Traceability & Transparency,Does the project track the origin of each feedstock batch with chain-of-custody documentation?,"Look for: Digital/paper logbooks, blockchain, or barcode systems referenced in project docs | If absent/vague: Only broad statements about feedstock sourcing | Assess: Strong traceability is vital for verifying sustainable, legal sourcing."
Delivery risk,Supply chain,Traceability & Transparency,Are third-party audits performed to verify feedstock sustainability and detect illicit harvesting?,"Look for: Certifications (FSC, PEFC) or auditor statements about independent sourcing verification | If absent/vague: Project relies solely on internal claims | Assess: External audits build confidence; their absence raises compliance risks."
Delivery risk,Equipment & machinery,Equipment Durability & Maintenance,Is the pyrolysis equipment designed for industrial-scale operation with proven durability and a valid warranty?,"Look for: Manufacturer details, historical performance data, or warranty documents in project reports | If absent/vague: Only generic 'robust equipment' claims | Assess: Proven, well-maintained equipment lowers downtime risk."
Delivery risk,Equipment & machinery,Equipment Durability & Maintenance,Does the project follow a structured preventive maintenance schedule with documented logs?,"Look for: Maintenance manuals, scheduled service intervals, logbooks, or auditor confirmations | If absent/vague: Only reactive repairs are mentioned | Assess: Regular maintenance is crucial for reliable operation."
Delivery risk,Equipment & machinery,Energy Efficiency & Cost Stability,"Which measures (heat recovery, syngas reuse) reduce external fuel consumption during pyrolysis?","Look for: Process diagrams or technical descriptions of recirculating waste heat or capturing syngas | If absent/vague: Minimal detail on energy optimization | Assess: Efficient energy use lowers costs and emissions, improving feasibility."
Delivery risk,Equipment & machinery,Energy Efficiency & Cost Stability,Does the project model fuel price sensitivities to ensure profitability and stable credit delivery if energy costs rise?,Look for: Financial scenario analyses or risk management plans addressing rising fuel/electricity costs | If absent/vague: Energy cost assumptions may be fixed with no contingency | Assess: Poor modeling can lead to financial instability.
Delivery risk,Equipment & machinery,Regulatory Compliance & Safety,Has the project obtained all necessary permits for pyrolysis operations and worker safety?,"Look for: Permit numbers, regulatory approvals, or auditor confirmations of legal compliance | If absent/vague: Only vague 'we comply with standards' statements | Assess: Missing permits or unclear compliance risk shutdowns."
Delivery risk,Equipment & machinery,Regulatory Compliance & Safety,"Are adequate safety measures (PPE, emergency shutdown systems, gas filtration) documented to protect workers and the environment?","Look for: Specific safety protocols, training records, specs for filtration or alarms | If absent/vague: Generic mentions of 'safe operations' with no details | Assess: Insufficient safety provisions risk accidents and liability."
Environmental factors,Negative impact,Biodiversity & Habitat Disruption,Does feedstock harvesting or land-use change threaten sensitive ecosystems or protected habitats?,"Look for: Environmental impact assessments, maps, or references to proximity to protected areas | If absent/vague: Only 'sustainable sourcing' with no local ecological detail | Assess: Habitat disruption raises reputational and regulatory risks."
Environmental factors,Negative impact,Biodiversity & Habitat Disruption,"Has the project implemented offset or conservation measures (e.g., reforestation, wildlife corridors) to mitigate unavoidable habitat disruption?","Look for: Biodiversity offset programs, reforestation initiatives, or conservation partnerships in audit reports | If absent/vague: No mention of remediation for ecological impacts | Assess: Lacking mitigation can harm sustainability profile."
Environmental factors,Negative impact,Soil Degradation Risks,Does large-scale biomass removal risk depleting soil organic matter or causing erosion in source areas?,"Look for: Harvest management plans, rotation schedules, or soil health assessments | If absent/vague: Project claims 'ample feedstock' with no sustainability data | Assess: Overharvesting can degrade land and jeopardize supply."
Environmental factors,Negative impact,Soil Degradation Risks,"Has the project tested for potential negative side effects of biochar (e.g., altered soil pH, nutrient lock-up)?",Look for: Field trials or lab tests comparing soil properties before/after application | If absent/vague: Only 'biochar benefits' claimed with no chemical data | Assess: Negative effects can reduce soil productivity and project benefits.
Environmental factors,Negative impact,Water Resource Depletion & Pollution,"How does the project manage water use (cooling, steam) for pyrolysis to avoid depleting local resources?","Look for: Water usage records, recycling/closed-loop systems, watershed impact assessments | If absent/vague: Only brief mentions of water with no data | Assess: High water usage without mitigation can cause local conflicts or ecological harm."
Environmental factors,Negative impact,Water Resource Depletion & Pollution,Are wastewater or effluent streams from pyrolysis treated before discharge?,"Look for: Descriptions of on-site treatment systems, test results, or compliance with local discharge standards | If absent/vague: Only generic statements about water disposal | Assess: Untreated effluent risks pollution and regulatory issues."
Environmental factors,Negative impact,Air Pollution & Harmful Emissions,"Does the pyrolysis process emit particulates, CO, or VOCs, and are emission controls (scrubbers, filters) in place?","Look for: Emission test data, descriptions of gas cleaning, compliance with air quality regulations | If absent/vague: Only 'low emissions' claimed with no technical backup | Assess: Inadequate controls pose health and environmental risks."
Environmental factors,Negative impact,Air Pollution & Harmful Emissions,"Are feedstocks screened for contaminants that could produce toxic byproducts (e.g., dioxins, heavy metals) during pyrolysis?","Look for: Screening protocols, supplier certifications, or lab tests on incoming biomass | If absent/vague: Only vague claims of 'clean feedstock' | Assess: Contaminated feedstock can lead to harmful emissions and regulatory concerns."
Environmental factors,Negative impact,Land-Use Change & Agricultural Displacement,"Does the project convert farmland or forests, potentially displacing local communities or food production?",Look for: Land-use impact assessments or stakeholder consultations showing potential displacement | If absent/vague: Project states large-scale ops with no mention of prior land uses | Assess: Unmitigated land conversion can spark socio-economic conflict.
Environmental factors,Negative impact,Land-Use Change & Agricultural Displacement,Has the project evaluated whether feedstock cultivation intrudes on indigenous lands or smallholder farms?,"Look for: Land tenure studies, FPIC processes, or community meeting records | If absent/vague: No mention of local land rights or indigenous involvement | Assess: Ignoring local rights can lead to legal challenges and conflict."
Environmental factors,Negative impact,Overextraction of Biomass,Do biomass harvesting rates exceed sustainable regeneration levels in source areas?,"Look for: Harvest management plans, sustainable yield data, or rotation cycles in supplier reports | If absent/vague: 'Ample biomass' claims with no data | Assess: Overharvesting harms ecosystems and reduces long-term viability."
Environmental factors,Negative impact,Overextraction of Biomass,"Are local communities dependent on the same biomass for fuel or fodder, risking shortages if diverted?","Look for: Socioeconomic studies or stakeholder consultations on local biomass reliance | If absent/vague: No mention of local usage, though rural setting is implied | Assess: Competing uses can cause conflict and undermine net benefit."
Environmental factors,Negative impact,Heavy Metal & Contaminant Risks,"Is biochar regularly tested for heavy metals (Pb, Cd, Hg) and organic pollutants (PAHs, dioxins) to ensure safety?",Look for: Lab analysis reports showing contaminant concentrations vs. recognized thresholds | If absent/vague: Claims of 'clean biochar' without test data | Assess: Testing is essential to prevent toxic contamination and environmental harm.
Environmental factors,Negative impact,Heavy Metal & Contaminant Risks,Does the project have protocols for rejecting or remediating biochar batches exceeding contamination limits?,"Look for: SOPs or QA policies detailing corrective actions (e.g., discarding off-spec biochar) | If absent/vague: No mention of remediation if contamination occurs | Assess: Lack of a plan raises risk of polluted biochar use."
Environmental factors,Negative impact,Noise Pollution & Community Disruption,"Has the project measured machinery noise levels and implemented mitigation (e.g., acoustic barriers, scheduling)?",Look for: Noise impact assessments with decibel readings and stated mitigation steps | If absent/vague: Only 'we are quiet' with no data | Assess: Excessive noise can lead to community complaints or legal action.
Environmental factors,Negative impact,Noise Pollution & Community Disruption,Is there a grievance mechanism for local residents to report noise or other disturbances?,"Look for: Complaint hotlines, community liaison officers, or formal dispute resolution processes | If absent/vague: Only broad mentions of 'good community relations' | Assess: No feedback channel can lead to unresolved tensions."
Environmental factors,Negative impact,Negative Socioeconomic Externalities,Could the project displace existing livelihoods or disrupt local economic activities?,"Look for: Socioeconomic impact assessments, stakeholder consultations, or auditor notes on local businesses/employment | If absent/vague: Only emphasis on job creation with no mention of displacement | Assess: Disruption can cause community resistance."
Environmental factors,Negative impact,Negative Socioeconomic Externalities,Are labor conditions and wages in line with ethical and legal standards?,"Look for: Documentation of compliance with local labor laws, fair wage policies, worker safety measures | If absent/vague: Generic mentions of 'good labor practices' without detail | Assess: Poor labor conditions pose ethical, legal, and reputational risks."
Environmental factors,Co-benefits,Improved Soil Health & Productivity,"Has the project measured increases in soil organic matter, CEC, or crop yields after biochar application?","Look for: Field trial data, before/after studies, or audit reports with numerical comparisons | If absent/vague: Only anecdotal or general statements | Assess: Quantitative improvements validate claims of soil health co-benefits."
Environmental factors,Co-benefits,Improved Soil Health & Productivity,Is there evidence that biochar enhances soil water retention or drought resilience?,"Look for: Studies showing reduced irrigation needs, higher soil moisture metrics post-biochar | If absent/vague: Only broad statements of 'better water holding' | Assess: Documented gains strengthen co-benefit claims."
Environmental factors,Co-benefits,Water Conservation & Quality,"Does biochar reduce nutrient leaching or runoff, improving nearby water quality?",Look for: Comparative water quality data (nitrate/phosphate levels) before and after application | If absent/vague: Only unquantified claims of 'less runoff' | Assess: Measurable improvements are a strong co-benefit.
Environmental factors,Co-benefits,Water Conservation & Quality,Have documented decreases in irrigation demand occurred due to biochar application?,Look for: Farm records or scientific reports showing reduced water usage per hectare | If absent/vague: Only 'we save water' claims with no data | Assess: Quantified evidence underscores real water conservation benefits.
Environmental factors,Co-benefits,Air Quality Improvement,Does converting biomass to biochar reduce particulates or pollutant emissions vs. open burning or decay?,Look for: LCA comparisons or emission test data contrasting pyrolysis with typical disposal methods | If absent/vague: Only 'reduces smoke' claims without specifics | Assess: Verified emission reductions bolster air quality co-benefits.
Environmental factors,Co-benefits,Air Quality Improvement,Has the project measured reductions in methane or other GHGs compared to unmanaged biomass decomposition?,Look for: Quantitative CH₄ emission comparisons from baseline disposal vs. pyrolysis outputs | If absent/vague: Only qualitative claims about 'less methane' | Assess: Documented CH₄ reduction is a strong co-benefit.
Environmental factors,Co-benefits,Biodiversity Protection & Habitat Restoration,"Does the project integrate biochar into agroforestry or land restoration, enhancing native vegetation or soil biodiversity?","Look for: Reforestation programs, agroforestry pilots, or biodiversity monitoring data | If absent/vague: Only broad ecological benefit claims without site evidence | Assess: Active land restoration can add significant co-benefits."
Environmental factors,Co-benefits,Biodiversity Protection & Habitat Restoration,Have pollinator or beneficial insect populations increased where biochar is applied?,Look for: Biodiversity surveys or ecological studies noting higher pollinator/fauna abundance | If absent/vague: Only 'improved ecology' claims with no data | Assess: Measurable increases in key species support biodiversity co-benefits.
Environmental factors,Co-benefits,Waste Management & Circular Economy,"Does the project use true waste or residue feedstocks, diverting them from landfills or open dumping?",Look for: References to agricultural/forestry residues otherwise destined for disposal | If absent/vague: Vague 'waste biomass' with no proof of disposal methods | Assess: Genuine waste usage enhances circular economy benefits.
Environmental factors,Co-benefits,Waste Management & Circular Economy,"Are pyrolysis byproducts (syngas, bio-oil) captured and utilized, improving resource efficiency?",Look for: Process flow diagrams or financial reports detailing byproduct usage or sale | If absent/vague: Byproducts may be flared or discarded | Assess: Utilizing byproducts strengthens circular economy claims.
Environmental factors,Co-benefits,Regenerative Agriculture & Sustainable Land Management,"Is biochar applied alongside regenerative practices (cover cropping, no-till) to enhance soil carbon sequestration?",Look for: Project/audit reports describing synergy with other soil-building methods | If absent/vague: Only mentions biochar application with no broader management context | Assess: Combined approaches amplify agronomic and climate benefits.
Environmental factors,Co-benefits,Regenerative Agriculture & Sustainable Land Management,Have reductions in synthetic fertilizer or pesticide use been documented due to improved nutrient retention?,Look for: Farmer testimonials or comparative data showing decreased agrochemical usage post-biochar | If absent/vague: Claims of 'less fertilizer' without quantification | Assess: Verified reductions yield both economic and environmental co-benefits.
Environmental factors,Co-benefits,Community Benefits & Local Development,"Does the project create local jobs, training programs, or revenue-sharing mechanisms for surrounding communities?","Look for: Employment figures, training workshop descriptions, documented revenue-sharing policies | If absent/vague: Only vague 'community benefits' statements | Assess: Concrete local economic uplift fosters social acceptance and sustainability."
Environmental factors,Co-benefits,Community Benefits & Local Development,"Are underrepresented groups (women, youth, indigenous) included in decision-making or capacity-building efforts?","Look for: Demographic data on workforce or training, explicit inclusion policies, targeted outreach | If absent/vague: Only general references to 'community involvement' | Assess: Inclusive engagement improves equity and project resilience."
Social impact,Economic empowerment,Job Creation & Fair Labor,"Does the project provide stable, fairly compensated jobs with safe working conditions, prioritizing local hires?","Look for: Wage levels above legal minimum, local recruitment policies, safety measures (PPE/training) in audit reports | If absent/vague: Only mentions 'local hires' without detail on wages or safety | Assess: Fair employment is key for social credibility."
Social impact,Economic empowerment,Job Creation & Fair Labor,Is there a formal system for worker grievances and independent verification of labor rights compliance?,"Look for: Grievance procedures, worker hotlines, union representation, or third-party labor audits | If absent/vague: Only generic claims of good labor practices | Assess: A robust system reduces exploitation risk."
Social impact,Economic empowerment,Local Business & Entrepreneurship Support,"Are local smallholders or cooperatives integrated into the biochar value chain (e.g., feedstock sales, distribution partnerships)?",Look for: Contracts or partnership agreements with local farmers or co-ops in project/audit docs | If absent/vague: Only external operators manage the value chain | Assess: Local integration supports broader economic growth.
Social impact,Economic empowerment,Local Business & Entrepreneurship Support,"Does the project offer financial or technical support (microfinance, training) to local entrepreneurs developing biochar-related businesses?","Look for: Mentions of funding programs, loan facilities, or equipment leasing for local enterprises | If absent/vague: No mention of direct support mechanisms | Assess: Fostering local entrepreneurship multiplies community benefits."
Social impact,Economic empowerment,Income Diversification & Economic Resilience,"Can local stakeholders diversify income (e.g., carbon credits, improved crop yields) rather than relying on a single source?",Look for: Evidence of multiple revenue channels or success stories from farmers increasing income streams | If absent/vague: Only a single income approach is described | Assess: Diversification boosts resilience against market shocks.
Social impact,Economic empowerment,Income Diversification & Economic Resilience,Has the project analyzed long-term market demand for biochar or carbon credits so participants aren’t exposed if conditions change?,Look for: Scenario planning or market analyses referencing future price/demand fluctuations | If absent/vague: No discussion of potential volatility | Assess: Proactive planning supports sustainable local incomes over time.
Social impact,Economic empowerment,Equitable Benefit-Sharing,"Are project revenues (e.g., from carbon credits) transparently allocated so workers and communities get a fair share?",Look for: Financial breakdowns or revenue-sharing agreements in project/audit docs | If absent/vague: Distribution of benefits is not clearly specified | Assess: Transparency fosters trust; opacity may lead to perceptions of inequity.
Social impact,Economic empowerment,Equitable Benefit-Sharing,"Do marginalized groups (women, indigenous) have structured access to economic benefits from the project?","Look for: Policies, quotas, or targeted programs for inclusive participation | If absent/vague: Only broad statements about benefiting 'the community' | Assess: Without explicit measures, benefits might be unevenly distributed."
Social impact,Economic empowerment,Capacity Building & Skills Development,"Does the project provide formal training or apprenticeships in biochar production, equipment maintenance, or sustainable land management?","Look for: Training curricula, workshop logs, or documented apprenticeship programs | If absent/vague: Only general mentions of 'offering training' with no structure | Assess: Formal programs build long-term local capacity."
Social impact,Economic empowerment,Capacity Building & Skills Development,Are less-skilled or underrepresented workers able to advance into technical or managerial roles?,"Look for: Career progression initiatives, advanced courses, or promotion pathways in project docs | If absent/vague: Only entry-level positions are mentioned | Assess: Opportunities for advancement improve economic resilience."
Social impact,Economic empowerment,Infrastructure & Economic Spillovers,"Has the project invested in local infrastructure (roads, energy access) that benefits the wider community?",Look for: Auditor references or project docs on improvements beyond the project site | If absent/vague: Only internal infrastructure is mentioned | Assess: Community-level investments amplify local economic impacts.
Social impact,Economic empowerment,Infrastructure & Economic Spillovers,Are indirect benefits for local suppliers or service providers documented as a result of project operations?,"Look for: Evidence of increased business activity, new supply chain partnerships, or economic reports on spillovers | If absent/vague: Only direct employment is cited | Assess: Positive indirect impacts indicate a multiplier effect on the local economy."
Policy,Implementation & Enforcement,Government Effectiveness,Are there well-defined legislative frameworks or incentives that support biochar projects at the national or local levels?,"Look for: References to specific climate policies, negative emissions regulations, or stable carbon markets | If absent/vague: Only general statements about climate commitments | Assess: Strong policy frameworks reduce risk; unclear frameworks raise uncertainty."
Policy,Implementation & Enforcement,Government Effectiveness,"How reliably are these policies enforced, and do they consistently support biochar project implementation?","Look for: Government or auditor reports on enforcement track records, regulatory oversight, or success rates | If absent/vague: Policy details might exist but enforcement is unknown | Assess: Weak enforcement raises viability risks."
Policy,Implementation & Enforcement,Government Effectiveness,"Does the government allocate stable financial resources (subsidies, climate finance) to support biochar projects?","Look for: Mention of public grants, budget lines, or carbon credit purchasing commitments | If absent/vague: Possible ad-hoc or pilot funding only | Assess: Stable, long-term funding reduces policy risk and fosters project continuity."
Policy,Implementation & Enforcement,Government Effectiveness,Could strong government support reduce the project’s additionality by making biochar deployment likely anyway?,"Look for: Policies or subsidies that mandate or heavily incentivize biochar at scale without carbon finance | If absent/vague: No direct mention of government-led expansions | Assess: If policy alone drives adoption, additionality is weaker."
Policy,Policy & Market Context,Green Investment Landscape,Does the country have explicit green investment or climate finance policies that favor biochar or carbon removal projects?,"Look for: National climate strategies, carbon pricing, or finance programs referencing biochar or negative emissions | If absent/vague: Only generic net-zero pledges with no practical instruments | Assess: Strong frameworks support scaling; lack thereof hinders investment."
Policy,Policy & Market Context,Green Investment Landscape,Is the level of green investment activity in this country sufficient to create a supportive ecosystem for biochar?,"Look for: Data on climate finance flows, VC for sustainability, or foreign investments in carbon removal | If absent/vague: Only broad 'government interest' claims | Assess: High investment activity lowers policy risk; limited activity is a hurdle."
Policy,Policy & Market Context,Green Investment Landscape,"Are there competing carbon removal projects (BECCS, DAC, afforestation) that affect demand or funding for biochar?","Look for: References to alternative removal methods, government or private sector preferences, or shared feedstock supplies | If absent/vague: Project may ignore competition for resources/funding | Assess: Multiple technologies can split limited climate finance."
Policy,Policy & Market Context,Green Investment Landscape,"What key risks (policy instability, market volatility) exist for biochar investment in this country?","Look for: Past policy reversals, macroeconomic instability, corruption indices in project/audit docs | If absent/vague: Only broad 'we see some risks' references | Assess: High volatility undermines long-term viability."
Policy,Policy & Market Context,Green Investment Landscape,Is the biochar project financially viable and scalable given the local/national investment context?,"Look for: Feasibility studies, ROI analyses, synergy with local industries (agriculture, biomass) | If absent/vague: Only broad positivity with no data | Assess: Lack of proven viability signals high risk; robust evidence fosters confidence."
Policy,Policy & Market Context,Major Policies,"Are there major national/regional/international policies specifically supporting biochar or carbon removal, and do they align with the project?","Look for: Cited laws, climate targets, or carbon pricing mechanisms that reference biochar adoption | If absent/vague: Project may not leverage existing policy tools | Assess: Alignment can boost viability; misalignment can add regulatory risk."
Policy,Policy & Market Context,Major Policies,"Have these policies been effectively implemented, or is there a history of slow/uneven enforcement in this sector?",Look for: Auditor/third-party reports on policy implementation success or failures | If absent/vague: Policy enforcement remains unclear | Assess: Weak enforcement undermines reliability of policy support.
Policy,Policy & Market Context,Major Policies,"Do different policy levels (local, national) conflict or create regulatory uncertainty for biochar deployment?","Look for: Evidence of contradictory rules (e.g., local bans vs. national incentives) or misaligned frameworks | If absent/vague: No mention of multi-level regulation synergy | Assess: Overlapping or clashing regulations add risk."
Policy,Policy & Market Context,Nationally Determined Contributions,Does the host country’s NDC mention or prioritize biochar or engineered carbon removals?,Look for: References in official NDC submissions or alignment with the project approach | If absent/vague: Biochar might not be part of national strategy | Assess: Inclusion in NDC can support policy but reduce additionality if it becomes mandated.
Policy,Policy & Market Context,Nationally Determined Contributions,"If biochar is in the NDC, is the government likely to implement such projects without carbon finance?",Look for: Government-led programs or funding for large-scale biochar expansions | If absent/vague: The NDC mention might be aspirational with no real path | Assess: Strong government action can lessen credit-based additionality.
Policy,Policy & Market Context,Nationally Determined Contributions,"Has the country historically met or missed NDC targets, and might that affect reliance on private carbon projects like biochar?",Look for: External climate performance reports or references to successes/failures in meeting targets | If absent/vague: Only 'ongoing efforts' are mentioned | Assess: Missed targets can boost reliance on private initiatives; consistent success might reduce the impetus.
Policy,Policy & Market Context,Nationally Determined Contributions,Could evolving NDC commitments or policy changes alter the regulatory environment for biochar over time?,Look for: Upcoming policy revisions or new climate goals that might mandate or shift focus away from voluntary credits | If absent/vague: No mention of future NDC updates | Assess: Rapid policy shifts can create uncertainty or reduce voluntary credit demand.
Policy,Policy & Market Context,Host Country Classification & Economic Context,"How is the host country classified economically (LDC, low/middle/high-income), and does this affect policy frameworks or investment conditions for biochar?","Look for: Official classification by the UN or World Bank, or references to GDP/income levels | If absent/vague: Only broad mentions of 'developing country' | Assess: Lower-income nations may rely on external finance; wealthier contexts may have robust domestic funding."
Policy,Policy & Market Context,Host Country Classification & Economic Context,"Do infrastructure gaps, regulatory weaknesses, or limited financing common to lower-income settings pose extra risks to the project?",Look for: Acknowledgments of capacity constraints or logistical barriers in the project’s risk analysis | If absent/vague: No mention of structural hurdles | Assess: Unaddressed constraints can undermine project viability.
Policy,Policy & Market Context,Host Country Classification & Economic Context,Could a higher-income country classification undermine additionality by providing alternative public funding or mandates?,"Look for: Evidence of robust government budgets, mandated negative emissions, or strong subsidies overshadowing carbon credit needs | If absent/vague: No mention of large-scale government climate finance | Assess: Where public funds exist, credit finance might be less crucial."
Policy,Policy & Market Context,Host Country Classification & Economic Context,How does the national classification influence regulatory stability or market confidence for biochar projects?,"Look for: References to corruption indices, business environment ratings, or historical policy fluctuations | If absent/vague: Only general references to 'policy environment' | Assess: Unstable or corrupt environments increase policy risk, while stable contexts lower it."
