topic,sub_topic,risk_factor,question,instruction
Additionality,Legal analysis,Ownership ,"For ex-post biochar projects, is there documentation showing uninterrupted ownership or land rights throughout the operational period, ensuring no legal challenges affected project implementation?","Look for: • Historical records or auditor statements confirming consistent land tenure from the project start date. • Evidence of no court cases, local disputes, or forced changes in ownership. If absent/vague: • Look for indirect mentions like “no disruptions to project activities.” Assess: • If the project faced ownership issues mid-way, how it was resolved. • Whether any legal disruptions might have partially undermined additionality (e.g., halting production, limiting feedstock access)."
Additionality,Legal analysis,Ownership ,"Does the project clearly define credit ownership (e.g., who has the legal right to claim and sell carbon credits) when multiple entities (e.g., feedstock providers, biochar producers, distribution partners) are involved?","Look for: • Contracts or agreements detailing who retains the right to generated credits. • Auditor confirmation that the credit ownership structure is transparent and undisputed. If absent/vague: • Seek language like “joint ownership,” “shared IP,” or “assignment of credit rights” among partners. Assess: • Whether there’s any overlap or confusion about credit issuance. • If unclear ownership could lead to double counting or disputes, potentially harming additionality claims."
Additionality,Legal analysis,Ownership ,"In cases of subsurface injection or long-term storage (if applicable to biochar co-products or advanced technologies), is the ownership or lease of underground storage sites legally established, and are relevant permits obtained?","Look for: • Permits or legal documents verifying the right to inject or store materials underground. • Auditor notes on any specialized licensing for subsurface use. If absent/vague: • Indirect references to “storage contracts” or “government-authorized injection sites.” Assess: • Whether these rights are stable throughout the crediting period. • If the project does not have a secure claim to the storage site, the risk to long-term removal is elevated, diminishing additionality."
Additionality,Legal analysis,Ownership ,"Do auditors or project documents highlight any discrepancies or contradictions regarding ownership claims, and how are they addressed or resolved?","Look for: • Auditor disclaimers about conflicting deeds, unclear contractual arrangements, or third-party claims. • Project statements on how disputes were resolved (if at all). If absent/vague: • Search for references to “initial confusion,” “misaligned ownership records,” or “pending legal resolution.” Assess: • How severely such disputes undermine the credibility of ownership. • Whether these issues remain open or have been settled, and if settlement was dependent on carbon finance or external intervention."
Over-crediting,Baseline scenario,Validity of zero baseline claims,"What evidence (e.g., historical data, operational records) does the project provide to justify that the baseline scenario is legitimately 0 tCO2e?","Look for: Documentation showing no carbon-removal or emission-reducing activities prior to project startReferences to established methodologies for zero-baseline justificationComparison with historical or regional benchmarks (if applicable) If absent/vague: Seek partial references (e.g., statements from project developers, generic industry data) suggesting minimal or no prior removals Assess: Whether the zero-baseline claim is credible and aligns with standard methodologiesPotential risk of over-crediting if insufficient evidence is provided"
Over-crediting,Baseline scenario,Validity of zero baseline claims,Did any carbon removal or emissions reduction activities already exist on-site or within the same operational system before the project’s formal start date?,"Look for: Evidence in the project description or audit stating prior carbon-related activitiesProject timeline showing when current activities began vs. when the “official” project started If absent/vague: Look for mention of “pilot” or “test” phases prior to full project registration Assess: If prior activities existed, confirm whether they were included in the baselineIf not included, consider risk of over-crediting"
Over-crediting,Baseline scenario,Validity of zero baseline claims,"How does the project address any exogenous trends (e.g., regulatory changes, industry shifts) that might result in emissions reductions or removals even without the project?",Look for: Discussions of future regulations or industry norms in the project’s baseline justificationMention of external policies that could drive emissions reduction independently If absent/vague: Check auditor’s commentary for external drivers or references to sector-wide changes Assess: Whether ignoring these factors inflates credits (over-crediting risk)Credibility of any justifications for excluding them
Over-crediting,Baseline scenario,Validity of zero baseline claims,"Does the baseline scenario account for any alternative uses of the feedstock (e.g., biomass) that might have otherwise resulted in carbon removals or reduced emissions?","Look for: Feedstock management or disposal practices preceding the projectComparisons with regional/national norms for using or discarding the feedstock If absent/vague: Seek any indirect references (e.g., mentions of local industry practices) to understand potential alternative uses Assess: Whether unaccounted-for alternative uses could have led to ongoing removals or lower emissions, indicating a non-zero baseline"
Over-crediting,Baseline scenario,Validity of zero baseline claims,"Is there a robust justification that no nature-based carbon removals were already occurring in the project area (e.g., no significant vegetation regrowth, reforestation, or land-use changes)?","Look for: References to land-use data or remote sensing analysesStatements of land management practices If absent/vague: Check if auditor references are too high-level or generic, offering minimal detail Assess: Whether ignoring existing nature-based removals could yield over-creditingLevel of confidence in data supporting a zero baseline for nature-based removals"
Over-crediting,Baseline scenario,Alternative feedstock scenarios,"What alternative uses of the feedstock exist in the region, and does the baseline scenario properly account for them?","Look for: Project documents listing potential alternative uses of feedstock (e.g., bioenergy, composting, mulch, animal feed, biofuels, timber).Industry or waste management reports on feedstock utilization.Regulatory policies affecting waste disposal or biomass use. If absent/vague: Check for generic claims of “waste” without proof of no alternative use.Look for missing justifications for excluding significant alternative uses. Assess: Risk of over-crediting if alternative CO₂-storage uses are ignored."
Over-crediting,Baseline scenario,Alternative feedstock scenarios,Would the feedstock have stored or reduced CO₂ emissions if not used by the project?,"Look for: Baseline comparisons showing what would have happened to feedstock in the absence of the project.Market and industry data on waste stream disposal. If absent/vague: Seek references to local composting, bioenergy plants, or carbon-sequestering applications. Assess: If alternative pathways for CO₂ reduction exist but are unaccounted for, flag a risk of over-crediting."
Over-crediting,Baseline scenario,Alternative feedstock scenarios,Does the project ensure feedstock use is additional and not diverted from pre-existing CO₂ storage pathways?,"Look for: Contracts proving feedstock is sourced exclusively as waste.Third-party validations ensuring additionality. Assess: If there is a risk of diverting existing CO₂ reduction pathways, over-crediting is likely."
Over-crediting,Reported greenhouse gas flows ,Project emissions,"Does the project provide a detailed breakdown of emissions sources, including fossil fuel use, electricity, transport, and material use?",Look for: Detailed emissions inventory for each source.Emission factors and methodologies used. If absent/vague: Identify missing categories or reliance on estimates without justification. Assess: Unspecified sources = risk of underestimating emissions and over-crediting.
Over-crediting,Reported greenhouse gas flows ,Project emissions,"Are reported fossil fuel emissions measured and calculated using recognized standards (e.g., IPCC, GHG Protocol)?",Look for: Fuel type and quantity data. If absent/vague: Identify if IPCC/GHG methodologies are not applied. Assess: Projects relying on generic assumptions = over-crediting risk.
Over-crediting,Reported greenhouse gas flows ,Project emissions,Are electricity emissions adjusted for grid intensity and renewable energy use?,Look for: Electricity consumption data with grid CO₂ factors. If absent/vague: Check if generic factors are applied without project-specific adjustments. Assess: Ignoring grid intensity inflates removals.
Over-crediting,Reported greenhouse gas flows ,Project emissions,Are all project emissions fully deducted before issuing net credits?,Look for: Final net credit calculation. If absent/vague: Identify if emissions are acknowledged but not deducted. Assess: Missing deductions = direct over-crediting.
Over-crediting,Uncertainty,Carbon accounting uncertainty,"Which carbon accounting methodology does the project use (measured vs. modeled), and does it align with the relevant standard (Puro, Verra, Reverse, etc.)?","Look for: Explicit classification as measured, modeled, or hybrid approach.References to methodology documents from Puro, Verra, Reverse, or other applicable standards.Justification for why a particular approach was chosen (e.g., feasibility, cost, industry best practices). If absent/vague: Check if methodology is claimed but lacks reference to standard-specific requirements.Identify if non-standard methods are used without justification. Assess: Use of non-standard or undocumented methods raises over-crediting risk.Alignment with Puro, Verra, or Reverse strengthens credibility."
Over-crediting,Uncertainty,Carbon accounting uncertainty,"Does the project quantify uncertainty in carbon accounting (e.g., error margins, confidence intervals, Monte Carlo simulations), as required by its standard?","Look for: Explicit uncertainty quantification (e.g., error margins, standard deviations, sensitivity analysis).References to uncertainty guidelines from Puro, Verra, Reverse, or other certifying bodies. If absent/vague: Identify if uncertainty is acknowledged but not numerically quantified.Check if uncertainty calculations are based on assumptions rather than empirical data. Assess: Projects that fail to quantify uncertainty introduce over-crediting risks.Adherence to Verra, Puro, or Reverse uncertainty handling requirements strengthens credibility."
Over-crediting,Uncertainty,Carbon accounting uncertainty,"If using modeled approaches, how frequently is the model validated and updated with real-world data, in accordance with the project’s certifying standard?","Look for: Details on model validation steps (e.g., backtesting against empirical data, updates after field measurements).Frequency of model recalibration and updates.Third-party verification of model parameters.References to standard-mandated model validation requirements (e.g., Verra or Puro guidelines on model accuracy). If absent/vague: Identify reliance on static, non-updated models.Check for assumptions not validated against field data. Assess: Models that are not validated or updated present a risk of over-crediting.Projects following Puro, Verra, or Reverse model validation rules have lower uncertainty risk."
Over-crediting,Uncertainty,Carbon accounting uncertainty,"How does the project handle data gaps in carbon accounting, and does it follow fallback procedures outlined by its standard?","Look for: Fallback methods for missing data (e.g., using conservative estimates, proxy data, standardized default factors).Clear definition of fallback approaches in line with Puro, Verra, Reverse, or other recognized methodologies. If absent/vague: Check if missing data is ignored rather than accounted for with transparent fallback methods.Identify if fallback estimates are optimistic or arbitrary. Assess: Projects without structured fallback methods may inflate removal estimates, leading to over-crediting.Use of standard fallback procedures (e.g., Verra’s conservative approach) improves credibility."
Over-crediting,Uncertainty,Safeguards,"What safeguards has the project implemented to address uncertainty in biochar carbon accounting, and do they align with standards requirements?","Look for: Specific safeguards such as conservative crediting factors, uncertainty buffers, and unallocated carbon reserves.References to methodologies from recognized carbon crediting standards (Verra, Puro, Reverse). If absent/vague: Check if safeguards exist but are not explicitly linked to standard methodologies. Assess: Projects with missing or weak safeguards have a high over-crediting risk."
Over-crediting,Uncertainty,Safeguards,Are the safeguards conservatively designed to mitigate over-crediting while remaining reasonable within industry benchmarks?,"Look for: Explicit safety margins (e.g., deducting 5-10% for uncertainty).Use of standardized crediting buffers required by Verra, Puro, Riverse. If absent/vague: Identify if the project uses arbitrary or overly optimistic safeguards. Assess: Weak safeguards increase over-crediting risk.Projects following standard best practices have lower risk."
Over-crediting,Uncertainty,Safeguards,"How does the project determine biochar stability and permanence, and do safeguards reflect conservative assumptions based on peer-reviewed research?","Look for: Biochar stability assumptions (e.g., percentage of carbon retained for 100+ years).Comparison with the corresponding certification methodologies and academic literature. If absent/vague: Check if permanence is assumed without empirical data. Assess: Optimistic stability assumptions increase over-crediting risk.Conservative, evidence-backed assumptions reduce risk."
Over-crediting,Uncertainty,Safeguards,Are safeguards periodically reviewed and updated based on new biochar research or field measurements?,"Look for: Processes for reassessing safeguard effectiveness.Use of updated research to refine margins. If absent/vague: Identify if safeguards are static and outdated. Assess: Fixed, non-reviewed safeguards may lose effectiveness over time."
Over-crediting,Uncertainty,Safeguards,"Could safeguards lead to under-crediting, and if so, is the rationale for an extremely conservative approach justified?",Look for: Cases where safeguards limit issued credits.Justification for highly conservative margins. If absent/vague: Check if safeguards are overly strict without explanation. Assess: Overly conservative safeguards may deter project viability.
Leakage,Leakage,Activity displacement or leakage,"Is there evidence that the project’s feedstock sourcing does not displace existing uses (e.g., agriculture, energy, industrial applications)?","Look for: Documentation detailing feedstock procurement, including sustainability assessments, local biomass availability studies, or certifications (e.g., FSC, PEFC). The audit report should clarify whether the feedstock is a byproduct, waste material, or competes with existing markets.  If absent/vague: Check for indirect signals, such as reliance on high-value biomass (e.g., whole trees vs. sawmill residues) or ambiguous supply chain descriptions. Absence of third-party sustainability verification increases risk.  Assess: If no clear evidence is provided, assume moderate to high risk of displacement, which could undermine the project’s carbon benefit."
Leakage,Leakage,Activity displacement or leakage,"Does the project’s land use conflict with existing agricultural, forestry, or industrial activities?","Look for: Project documentation on land requirements, site selection, and whether the project is on brownfield (previously developed) or greenfield (undeveloped) land. Audit reports should clarify whether biochar application is integrated with existing activities or displacing prior land use.  If absent/vague: Consider whether the project mentions alternative land use strategies (e.g., using degraded land). If land requirements are unspecified or contradict local land-use policies, the risk of displacement is higher.  Assess: If land use conflicts with ongoing economic or food production activities, the displacement risk is moderate to high and could lead to indirect emissions."
Leakage,Leakage,Activity displacement or leakage,"Does the project require significant biomass or biochar transportation, and are transport-related emissions accounted for?","Look for: Evidence of transport distances, transportation modes, and whether emissions from transport are included in the lifecycle assessment (LCA). Reports should clarify if feedstock is sourced locally or transported long distances.  If absent/vague: If only general statements (e.g., “local sourcing”) appear, consider whether the project region has sufficient biomass supply. Lack of transportation emissions accounting indicates potential underestimation of leakage.  Assess: If transportation emissions are substantial and not accounted for, the leakage risk is moderate to high, potentially undermining the project’s net climate benefit."
Leakage,Leakage,Activity displacement or leakage,Is there an assessment of how project scaling may impact biomass or land availability?,"Look for: Projections on scaling impacts, supply chain expansion plans, and land-use modeling. The audit should indicate whether the project can expand without increasing pressure on biomass markets or land use.  If absent/vague: If the report assumes unlimited feedstock availability without addressing potential conflicts, this is a red flag.  Assess: If scalability constraints are not addressed, risk is moderate to high, especially if feedstock competition is likely to intensify over time."
Leakage,Leakage,Life cycle emissions,"Does the project define a clear system boundary in its life cycle assessment (LCA), and does it include cradle-to-grave emissions?","Look for: A documented system boundary in the LCA, specifying whether emissions from biomass sourcing, processing, transportation, infrastructure construction, and final storage are included.  If absent/vague: Check if the audit report only accounts for direct carbon sequestration without deducting upstream emissions. Lack of clear boundary definitions suggests a risk of underestimating total emissions.  Assess: If the project uses a limited boundary (e.g., only site-level emissions), the leakage risk is moderate to high, as significant emissions may be excluded."
Leakage,Leakage,Life cycle emissions,"Are the embodied emissions from infrastructure (e.g., biochar production facilities, processing plants) accounted for?","Look for: Project documentation discussing emissions from facility construction and installation, particularly for new infrastructure. Audit reports should indicate if existing infrastructure is used (lower risk) or new infrastructure has been built (potentially higher emissions).  If absent/vague: Check whether infrastructure is referenced at all. If a facility is described as “new” but lacks emissions quantification, assume embedded emissions are omitted.  Assess: If infrastructure emissions are excluded without justification, risk is moderate to high, particularly for small-scale projects where infrastructure emissions are proportionally significant."
Leakage,Leakage,Life cycle emissions,"Does the project account for emissions from biomass transportation, processing, and distribution?","Look for: Transport-related emissions calculations, including biomass sourcing distances, transportation methods (e.g., truck, ship), and energy use at processing facilities. The LCA should include logistics-related emissions.  If absent/vague: If reports only state “local sourcing” or omit transport distances, assume emissions may be underestimated. Long-haul transport without emissions inclusion increases leakage risk.  Assess: If transportation and processing emissions are missing or underestimated, the leakage risk is moderate to high, as these emissions can significantly reduce net removals."
Leakage,Leakage,Life cycle emissions,"If the project is small-scale, does the LCA recognize that upstream emissions may constitute a larger share of total emissions?","Look for: Any discussion in the audit report about the relative impact of upstream emissions in small-scale projects. Smaller projects often have proportionally higher embodied and transport emissions per ton of biochar produced.  If absent/vague: If no distinction is made between small- and large-scale projects in emission calculations, assume the risk is higher for small projects.  Assess: If small-scale project upstream emissions are not considered, risk is moderate to high, as net removals may be overstated."
Leakage,Leakage,Market leakage,Does the project significantly influence the supply or demand of biochar feedstocks in its region or sector?,"Look for: Evidence of the project’s market share in biomass sourcing, such as procurement volumes relative to regional availability. The audit report should specify whether feedstock competition could drive price increases or supply shifts.  If absent/vague: Check for indirect indicators, such as references to sourcing from a constrained biomass market or reliance on a single supply chain. If feedstock demand is growing rapidly, market distortion risk increases.  Assess: If the project represents a significant portion of local biomass demand and could crowd out other uses (e.g., agricultural or industrial), market leakage risk is moderate to high. If demand impact is negligible, risk is low."
Leakage,Leakage,Market leakage,Is there a risk that increasing biochar production at scale could lead to unintended shifts in biomass pricing or availability?,"Look for: Any discussion in the audit report about how scaling up could affect biomass pricing, supply chains, or competing markets. Check for economic impact assessments or supply-demand modeling.  If absent/vague: If no scaling risk analysis is provided, consider whether the feedstock is widely available or in high demand. Projects using rare or high-value biomass sources (e.g., virgin wood) are more prone to market shifts.  Assess: If scaling risks are ignored and the project relies on a constrained feedstock, leakage risk is moderate to high due to potential price or supply distortions."
Leakage,Leakage,Market leakage,"If the project scales, could it displace existing markets for biochar, biomass, or carbon removal credits?","Look for: References to existing markets that could be affected by increased supply (e.g., traditional biochar markets, bioenergy sector). Audit reports should consider whether the project creates competition that affects pricing or displaces other climate mitigation efforts.  If absent/vague: If the report does not acknowledge existing market structures, consider indirect signs, such as mentions of “first-of-its-kind” projects or reliance on niche buyers. Lack of competition analysis suggests potential oversight.  Assess: If project expansion is likely to affect established markets or create oversupply issues, the leakage risk is moderate but should be monitored as scale increases."
Leakage,Leakage,Market leakage,Does the project account for market leakage in its credit issuance calculations?,"Look for: Documentation on whether credits are adjusted for market leakage risk, particularly if the project significantly affects supply or demand. Some standards may require a deduction for market leakage.  If absent/vague: If no explicit deductions are mentioned, check if market effects are qualitatively discussed. If the project is small, this may be reasonable, but at scale, an absence of adjustments could indicate risk.  Assess: If the project does not account for market leakage but has potential supply-demand effects, risk is low at small scale but could become moderate to high as the project expands."
Leakage,Leakage,Positive leakage,Does the project generate greenhouse gas (GHG) reductions beyond the credited CO₂ removal activity?,"Look for: Any mention of co-benefits, such as soil carbon sequestration, displacement of fossil-based energy, or methane reduction. Reports may reference scientific literature or provide indirect evidence of additional climate benefits.  If absent/vague: Consider whether the project has aspects known to provide additional climate benefits (e.g., biochar application to agricultural soils or local energy use from pyrolysis). Lack of explicit discussion does not necessarily mean no positive leakage; instead, check for implicit indicators.  Assess: If strong potential GHG reductions are not credited but likely occur, this suggests moderate to high positive leakage, strengthening the project’s credibility. If no additional benefits are evident, positive leakage is low."
Leakage,Leakage,Positive leakage,"Does the project utilize biochar application in agriculture, and could this lead to additional soil carbon sequestration beyond credited removals?","Look for: Evidence that biochar is applied to soils, particularly in agricultural settings. Scientific literature often supports soil carbon benefits, but project-specific measurement may be absent due to cost barriers.  If absent/vague: If the report does not quantify soil carbon benefits, check for mentions of biochar use cases that are likely to enhance soil carbon stocks (e.g., regenerative agriculture, degraded land restoration).  Assess: If biochar is applied to soil but soil carbon benefits are uncredited, positive leakage is moderate to high, reinforcing project integrity. If biochar use is unclear or unrelated to soil enhancement, positive leakage is low."
Leakage,Leakage,Positive leakage,"Does the pyrolysis process produce energy that replaces fossil-based alternatives, and is this substitution included in the project’s assessment?","Look for: Documentation on energy recovery from pyrolysis and whether the project utilizes this energy for local consumption or displaces fossil fuel use. Some reports may discuss energy co-benefits but omit them from crediting due to verification challenges.  If absent/vague: If reports do not quantify energy substitution but mention energy recovery, check whether the project operates in a region where fossil-based energy is prevalent. If energy recovery is unmentioned, assume this benefit is not realized.  Assess: If fossil energy displacement is likely but uncredited, positive leakage is moderate to high. If no evidence of energy recovery is found, positive leakage is low."
Leakage,Leakage,Positive leakage,Does the project acknowledge and discuss uncredited co-benefits that could strengthen its climate impact?,"Look for: Explicit discussions in the audit report about potential but uncredited benefits, such as ecosystem improvements, soil health, or energy savings. Some projects recognize these benefits but lack data to formally include them in carbon crediting.  If absent/vague: If the report does not address co-benefits, check whether the project has characteristics that are widely known to create such effects (e.g., sustainable land management, avoided fertilizer emissions).  Assess: If the project recognizes but does not credit additional benefits, positive leakage is moderate to high, enhancing its credibility. If no discussion is present and no indirect signals are found, positive leakage is low."
Leakage,Leakage,Ecological leakage,"Does the project assess potential ecological impacts beyond carbon sequestration, including biodiversity, soil health, and water use?","Look for: Documentation that includes an ecological impact assessment, biodiversity surveys, or references to ecosystem health. The audit report should identify both positive (e.g., improved soil fertility) and negative (e.g., habitat disruption) effects.  If absent/vague: Check whether the project is located in an ecologically sensitive area or relies on resource-intensive feedstocks. Absence of any ecological assessment suggests a risk of unaccounted impacts.  Assess: If ecological impacts are well-documented and risks mitigated, leakage risk is low. If no assessment is provided, assume moderate to high risk, as unintended ecological shifts may occur."
Leakage,Leakage,Ecological leakage,"Could the project’s feedstock sourcing contribute to ecological degradation, such as deforestation, habitat loss, or soil depletion?","Look for: Evidence that feedstock harvesting is sustainable, such as compliance with FSC, PEFC, or regenerative agriculture practices. Reports should confirm that sourcing does not disrupt critical habitats.  If absent/vague: If no sourcing sustainability measures are outlined, check for indirect risks, such as reliance on high-demand biomass (e.g., whole trees, peat, monoculture crops) or sourcing from areas with ecological sensitivity.  Assess: If feedstock sourcing could harm ecosystems and is not mitigated, moderate to high risk. If feedstock use is demonstrably sustainable, low risk."
Leakage,Leakage,Ecological leakage,"Does the biochar application method influence local ecosystems positively or negatively (e.g., soil health, water retention, microbial activity)?","Look for: Scientific references or project-based assessments on biochar’s effect on soil quality, microbial diversity, or water retention. Some reports may mention co-benefits such as reduced fertilizer runoff.  If absent/vague: If no direct evidence is provided, consider whether biochar is applied to agricultural fields, degraded lands, or forestry projects—which are likely to have beneficial effects. If biochar application is poorly defined, assume unknown impacts.  Assess: If soil and water benefits are documented, positive ecological leakage may be present. If biochar application risks ecosystem disruption (e.g., excess application, high alkalinity), moderate risk."
Leakage,Leakage,Ecological leakage,"Does the project affect local water resources, including water consumption and pollution risks?","Look for: Statements on water use, runoff management, and whether the project alters local hydrology. Check if biochar improves water retention or if processing facilities require significant water inputs.  If absent/vague: If water use is not discussed, consider project scale and location. Large-scale biochar production with intensive processing may require significant water use.  Assess: If biochar enhances water efficiency or reduces runoff, positive ecological leakage is likely. If water extraction or pollution risks are present, moderate to high negative leakage risk."
Leakage,Leakage,Ecological leakage,Does the project impact habitat connectivity or biodiversity in the surrounding area?,"Look for: Reports on whether the project affects wildlife migration, plant diversity, or ecosystem fragmentation. Projects in biodiversity hotspots or areas with endangered species require greater scrutiny.  If absent/vague: If biodiversity is unmentioned, check for indirect risks (e.g., land-use change, monoculture feedstocks, proximity to conservation areas).  Assess: If biodiversity co-benefits exist (e.g., habitat restoration, soil microbiome improvements), positive ecological leakage is likely. If habitat loss or fragmentation risks exist, moderate to high negative risk."
Non-permanence,Storage characteristics ,Anthropogenic risks,Are there human activities that could compromise the stability of stored carbon in the project’s biochar?,"Look for: Documentation on potential anthropogenic threats such as land-use change, industrial contamination, or agricultural practices that could degrade biochar stability. Reports should indicate whether storage sites are protected from unintended human disturbance (e.g., land conversion, plowing).  If absent/vague: Check if the biochar is applied in settings where external factors (e.g., soil management, irrigation, or chemical treatments) could affect its permanence. If no protective measures are mentioned, assume risks are not mitigated.  Assess: If biochar stability is vulnerable to human activity without mitigation, moderate to high risk. If safeguards (e.g., secure land tenure, controlled application) are in place, low risk."
Non-permanence,Storage characteristics ,Anthropogenic risks,"Is there a risk of biochar degradation or CO₂ re-release due to land-use changes (e.g., tilling, deforestation, infrastructure development)?","Look for: Evidence that biochar application sites are designated for long-term storage (e.g., agricultural fields with no tilling, forest soils). Audit reports should discuss land-use stability over the project duration.  If absent/vague: If land tenure or usage policies are unclear, check if biochar is applied in areas with ongoing land-use change risks. If applied to leased or at-risk land, assume higher potential for disruption.  Assess: If biochar is at risk of being disturbed or removed through land-use change, moderate to high risk. If long-term land stability is ensured, low risk."
Non-permanence,Storage characteristics ,Anthropogenic risks,Are there chemical or biological processes that could degrade the biochar and reduce its carbon sequestration durability?,"Look for: Studies or assessments on biochar stability under project conditions. Reports should discuss potential degradation mechanisms (e.g., microbial activity, oxidation, chemical treatments).  If absent/vague: If degradation risks are not discussed, consider whether the project applies biochar to high-risk environments (e.g., acidic soils, high microbial activity areas). Lack of degradation analysis suggests unquantified risks.  Assess: If degradation is possible but unaccounted for, moderate risk. If biochar is shown to be chemically stable under expected conditions, low risk."
Non-permanence,Storage characteristics ,Anthropogenic risks,"Are there legal risks that could jeopardize the long-term sequestration of carbon in biochar (e.g., land tenure insecurity, regulatory changes, or disputes over ownership of stored carbon)?","Look for: Evidence of secure land tenure, long-term contracts, or legal protections ensuring biochar remains in place. Reports should mention compliance with local regulations and ownership structures for credited removals.  If absent/vague: If legal protections are unclear, check for signs of potential disputes (e.g., shared land use, recent regulatory shifts). If land tenure is uncertain, assume a higher risk of carbon reversal.  Assess: If legal uncertainties exist, moderate to high risk. If clear, enforceable agreements are in place, low risk."
Non-permanence,Storage characteristics ,Natural risks,Does the project quantify and account for biochar decay rates over its commitment period?,"Look for: Documentation on expected biochar decay rates based on pyrolysis conditions, soil temperature, and H/Corg values. Reports should reference scientific literature or project-specific measurements.  If absent/vague: Check if the commitment period is overly long (e.g., 1000 years) without decay adjustments. If decay is unmentioned, assume the project may be underestimating long-term non-permanence risks.  Assess: If biochar stability is well-documented and aligned with a realistic crediting period, low risk. If decay is not accounted for or the period is too long, moderate to high risk."
Non-permanence,Storage characteristics ,Natural risks,Are the pyrolysis conditions optimized for long-term biochar stability?,"Look for: Pyrolysis temperature ranges and resulting H/Corg values. Stability is highest for biochar produced at 600-700°C with H/Corg values below 0.3.  If absent/vague: If reports omit pyrolysis conditions, check if the project uses waste wood feedstock, which generally produces more stable biochar. If neither pyrolysis temperature nor H/Corg values are mentioned, assume unverified stability.  Assess: If the project uses high-temperature pyrolysis with a low H/Corg value, low risk. If biochar stability is unverified or suboptimal, moderate to high risk."
Non-permanence,Storage characteristics ,Natural risks,Does the project consider climatic and soil conditions that may accelerate biochar decay?,"Look for: Evidence that biochar is applied in cooler soils (≤10°C), which slows decay. Reports should also note soil type and microbial activity levels that could affect stability.  If absent/vague: If soil temperature and environmental conditions are unreported, check project location. Warmer climates (>15°C) or high microbial activity regions increase decomposition risk.  Assess: If biochar is stored in cool, stable environments, low risk. If exposed to high temperatures or biological activity without mitigation, moderate to high risk."
Non-permanence,Storage characteristics ,Natural risks,"Does the project store biochar in a way that minimizes exposure to natural degradation factors (e.g., erosion, flooding, oxidation)?","Look for: Storage or application methods that protect biochar from erosion (e.g., deep soil incorporation), flooding, or oxidation. Reports should mention whether biochar is left exposed or integrated into a stable system.  If absent/vague: If no protective measures are stated, check for risks such as surface application in erosion-prone regions or proximity to flood-prone areas.  Assess: If biochar is securely stored or incorporated, low risk. If left vulnerable to natural degradation, moderate to high risk."
Non-permanence,Storage characteristics ,Carbon rights,"Who owns the carbon rights for the project, and is ownership clearly established in legal agreements?","Look for: Documentation specifying ownership of carbon rights, including contracts, legal agreements, or government approvals. The project developer should have explicit legal authority over credit issuance.  If absent/vague: If ownership is not clearly stated, check for signs of conflicting claims (e.g., multiple stakeholders, government-controlled land). Lack of clarity increases legal uncertainty.  Assess: If carbon rights are clearly defined and owned by the project developer, low risk. If ownership is unclear or disputed, moderate to high risk."
Non-permanence,Storage characteristics ,Carbon rights,Are there any legal or regulatory barriers that could challenge the project’s ability to sell or retain carbon credits?,"Look for: References to national or regional carbon market regulations, government policies, or legal precedents affecting carbon credit transactions.  If absent/vague: If no legal analysis is provided, check whether the project operates in a country with unclear or restrictive carbon credit policies. If local laws could override project ownership claims, assume potential risks.  Assess: If legal frameworks fully support project-issued credits, low risk. If regulations create uncertainty or potential government intervention, moderate to high risk."
Non-permanence,Storage characteristics ,Carbon rights,Is there a risk that government ownership of carbon rights could impact credit issuance or project continuity?,"Look for: Evidence that the project developer, not the government, controls carbon credit sales. If carbon rights are state-owned, there should be contractual assurance of project control.  If absent/vague: If government involvement is mentioned but not clarified, assume potential intervention risks. If land tenure is publicly owned, risk may be higher.  Assess: If carbon rights are privately owned, low risk. If government ownership introduces uncertainty, moderate to high risk."
Non-permanence,Storage characteristics ,Carbon rights,"Does the project have long-term security over its carbon rights (e.g., long-term leases, tenure agreements, or legal protections)?","Look for: Evidence of long-term agreements ensuring the project maintains carbon rights for the full crediting period. Secure legal frameworks and tenure agreements should be documented.  If absent/vague: If project tenure is not addressed, check whether land-use rights are short-term or subject to change (e.g., expiring leases). Temporary arrangements increase the likelihood of future disputes.  Assess: If long-term carbon rights security is ensured, low risk. If rights could expire or face challenges, moderate to high risk."
Non-permanence,Risk mitigation ,Stakeholder engagement,"Has the project obtained free, prior, and informed consent (FPIC) from affected communities?","Look for: Evidence of a formal FPIC process, including consultation records, agreements with local stakeholders, or government endorsements. Reports should reference whether communities were informed about the project’s activities, risks, and long-term implications.  If absent/vague: If FPIC is not explicitly documented, check for references to community consultations or stakeholder engagement mechanisms. If no mention exists, assume the risk of local opposition.  Assess: If FPIC is properly secured, low risk. If absent or unclear, moderate to high risk, as community opposition could threaten project permanence."
Non-permanence,Risk mitigation ,Stakeholder engagement,Are there documented community engagement processes that ensure ongoing local involvement in the project?,"Look for: Project reports detailing regular stakeholder meetings, grievance mechanisms, or participatory decision-making. The project should have established feedback loops for community concerns.  If absent/vague: If ongoing engagement is not addressed, check whether the project mentions any interactions with local communities (e.g., employment opportunities, partnerships). Lack of engagement increases project vulnerability.  Assess: If long-term stakeholder engagement is formalized, low risk. If engagement is missing or ad-hoc, moderate to high risk, as disengagement can lead to instability."
